Va,Vb,Vc,Ia,Ib,Ic,fault_type
2.515142233,10760.62519,-3.026434601,2742.357856,39.42171046,2798.539527,PACTG
2.385577656,10793.55501,-3.163322215,2739.545125,39.91948573,2808.67556,PACTG
2.2558382,10825.60145,-3.299985111,2736.535218,40.41373627,2818.609184,PACTG
2.126206425,10856.74462,-3.436749402,2733.631722,40.90266587,2828.645526,PACTG
1.996828707,10886.93741,-3.573798746,2730.998886,41.38524391,2838.950297,PACTG
1.867663471,10916.12545,-3.711094159,2728.596358,41.86167429,2849.483317,PACTG
1.738503367,10944.27076,-3.848384398,2726.19566,42.33330341,2860.0144,PACTG
1.609061684,10971.36825,-3.985302668,2723.471704,42.80199412,2870.215178,PACTG
1.479089417,10997.44741,-4.121510711,2720.132746,43.26925648,2879.79009,PACTG
1.348476862,11022.5581,-4.256831254,2716.036882,43.73553438,2888.594137,PACTG
1.217300571,11046.74692,-4.391315307,2711.248618,44.19996788,2896.690349,PACTG
1.085797293,11070.03482,-4.525216449,2706.013019,44.66075049,2904.324058,PACTG
0.954275738,11092.40618,-4.658882871,2700.657859,45.11593125,2911.82434,PACTG
0.823000169,11113.81467,-4.792610928,2695.462887,45.56428881,2919.472105,PACTG
0.692091589,11134.2032,-4.926520247,2690.548409,46.00587497,2927.387599,PACTG
0.561484751,11153.529,-5.060500683,2685.827627,46.44198587,2935.482256,PACTG
0.43095816,11171.78247,-5.194252923,2681.041678,46.8745648,2943.494065,PACTG
0.300225043,11188.99102,-5.327405627,2675.863302,47.30529827,2951.092225,PACTG
0.169050375,11205.20611,-5.459661504,2670.027713,47.73482591,2958.009166,PACTG
0.037347939,11220.47925,-5.590912456,2663.438421,48.16242832,2964.147141,PACTG
-0.094780427,11234.83791,-5.721277721,2656.205799,48.58632856,2969.616825,PACTG
-0.227079468,11248.27224,-5.851049557,2648.603057,49.00447663,2974.692586,PACTG
-0.359235446,11260.73881,-5.980569369,2640.95729,49.4154685,2979.702417,PACTG
-0.490995008,11272.1797,-6.110084662,2633.51911,49.81917184,2984.896604,PACTG
-0.622261007,11282.54828,-6.239645262,2626.362921,50.2167698,2990.347636,PACTG
-0.753127584,11291.82994,-6.36907998,2619.357626,50.610211,2995.92131,PACTG
-0.883839735,11300.04841,-6.498062871,2612.219387,51.00131142,3001.330457,PACTG
-1.014693034,11307.25461,-6.626241218,2604.625327,51.39090947,3006.249722,PACTG
-1.145912082,11313.50326,-6.75337327,2596.342742,51.77846777,3010.44542,PACTG
-1.277556018,11318.82775,-6.879419724,2587.322224,52.16230541,3013.868595,PACTG
-1.40948863,11323.22477,-7.00455308,2577.717556,52.54034523,3016.674144,PACTG
-1.541426094,11326.65563,-7.129081618,2567.82447,52.91103915,3019.158505,PACTG
-1.673043828,11329.0637,-7.253319853,2557.962775,53.27405771,3021.640905,PACTG
-1.804101073,11330.39998,-7.37745786,2548.348966,53.63042234,3024.335718,PACTG
-1.934533311,11330.6452,-7.501482285,2539.010169,53.98201929,3027.266906,PACTG
-2.064475433,11329.81832,-7.625179562,2529.77377,54.3307278,3030.258655,PACTG
-2.194205116,11327.9678,-7.748219338,2520.336832,54.67755654,3033.005813,PACTG
-2.324028521,11325.14955,-7.870283369,2510.38752,55.02217379,3035.195868,PACTG
-2.454152974,11321.40163,-7.991188046,2499.730009,55.36305055,3036.633677,PACTG
-2.584597983,11316.72725,-8.110951394,2488.363004,55.69815088,3037.319131,PACTG
-2.715180627,11311.09376,-8.229779127,2476.480502,56.02584299,3037.446832,PACTG
-2.845582507,11304.44787,-8.347976109,2464.394565,56.34561923,3037.328045,PACTG
-2.975471829,11296.74013,-8.465819833,2452.41098,56.65830656,3037.266207,PACTG
-3.104632517,11287.94757,-8.583446414,2440.707507,56.96566816,3037.435782,PACTG
